date,code,company,businessViews,secondaryTags,fallbackFlags,readDecision,score,evidenceLevel,numbers,businessAction,followTarget,title,url,announcementId,hasText,textChars,evidenceSnippet
2026-07-03,002109,兴化股份,风险沟通,异常波动,数字异常事项,建议精读,65,PDF正文数字已核验,6日、29日、30日、690.40万元、12%、5%、1%,跟踪监管进展、交易风险、诉讼债务、非标意见和客户风险沟通。,董秘办 / 合规风控 / 控股股东 / 财务负责人,股票交易异常波动公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225406416.PDF,1225406416,是,2395,码：002109证券简称：ST兴化编号：2026-037陕西兴化化学股份有限公司股票交易异常波动公告本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。特别风险提示：1．陕西兴化化学股份有限公司（以下简
2026-07-06,600928,西安银行,业绩与分红,分红/权益分派,数字异常事项,建议精读,65,PDF正文数字已核验,"0.1元、4,444,444,445股、444,444,444.50元、20%、50%、10%",跟踪业绩压力、分红实施、投资者沟通和市值管理叙事。,董秘办 / 投资者关系 / 财务负责人,西安银行股份有限公司2025年度权益分派实施公告,https://static.cninfo.com.cn/finalpage/2026-07-06/1225410292.PDF,1225410292,是,2433,00928证券简称：西安银行公告编号：2026-021西安银行股份有限公司2025年年度权益分派实施公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。重要内容提示
2026-07-03,300164,通源石油,股东服务,质押/冻结,数字异常事项,建议精读,65,PDF正文数字已核验,10.04%、1.05%、10.41%、23.14%、2.41%、0.00%,跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,关于控股股东部分股份质押的公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225408174.PDF,1225408174,是,1086,简称：通源石油公告编号：2026-048通源石油科技集团股份有限公司关于控股股东部分股份质押的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。一、股东股份质押基本情况股东及其一致行动人所持股
2026-07-03,601015,陕西黑猫,股东服务,质押/冻结,数字异常事项,建议精读,65,PDF正文数字已核验,45.14%、27.11%、12.24%,跟踪开户、减持路径、质押风险、股东资金安排和财富管理触达。,控股股东 / 5%以上股东 / 董秘办,陕西黑猫：关于控股股东股份解除质押的公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225405546.PDF,1225405546,是,727,证券简称：陕西黑猫公告编号：2026-026陕西黑猫焦化股份有限公司关于控股股东股份解除质押的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。重要内容 / 15证券简称：陕西黑猫公告编号：2026-026陕西黑猫焦化股份有限公司关于控股股东股份解除质押的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。重要内容
2026-07-03,300487,蓝晓科技,风险沟通,异常波动,数字异常事项,建议精读,55,PDF正文数字已核验,30%,跟踪监管进展、交易风险、诉讼债务、非标意见和客户风险沟通。,董秘办 / 合规风控 / 控股股东 / 财务负责人,股票交易异常波动公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225409792.PDF,1225409792,是,961,-047债券代码：123195债券简称：蓝晓转02西安蓝晓科技新材料股份有限公司股票交易异常波动公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。一、股票交易异常波动的具体情况西安蓝晓科技新材料股
2026-07-03,002149,西部材料,业绩与分红,分红/权益分派,数字异常事项,建议精读,55,PDF正文数字已核验,10%,跟踪业绩压力、分红实施、投资者沟通和市值管理叙事。,董秘办 / 投资者关系 / 财务负责人,西部金属材料股份有限公司2025年年度权益分派实施公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225405739.PDF,1225405739,是,1571,149证券简称：西部材料公告编号：2026-028西部金属材料股份有限公司2025年年度权益分派实施公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。西部金属材料股份有限公司（以下简称“西部材料公
2026-07-03,603139,康惠股份,风险沟通,诉讼仲裁,关联交易/复杂交易,建议精读,47,PDF正文已命中,,跟踪监管进展、交易风险、诉讼债务、非标意见和客户风险沟通。,董秘办 / 合规风控 / 控股股东 / 财务负责人,康惠股份关于业绩补偿事项仲裁进展暨收到《裁决书》的公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225405462.PDF,1225405462,是,1257,39证券简称：康惠股份公告编号：2026-059陕西康惠制药股份有限公司关于业绩补偿事项仲裁进展暨收到《裁决书》的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律
2026-07-03,688102,斯瑞新材,激励与员工,股权激励、授予/归属,常规底稿,建议精读,43,PDF正文已命中,,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,关于2023年股票期权激励计划限制行权期间的提示性公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225406284.PDF,1225406284,是,613,02证券简称：斯瑞新材公告编号：2026-043陕西斯瑞新材料股份有限公司关于2023年股票期权激励计划限制行权期间的提示性公告本公司董事会及全体董事保证公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法 / 材公告编号：2026-043陕西斯瑞新材料股份有限公司关于2023年股票期权激励计划限制行权期间的提示性公告本公司董事会及全体董事保证公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。根
2026-07-03,688102,斯瑞新材,激励与员工,股权激励、授予/归属,常规底稿,建议精读,43,PDF正文已命中,,跟踪授予、归属、行权、员工账户、行权资金和股份支付费用。,董秘办 / 人力资源 / 财务负责人 / 激励对象服务团队,关于股份性质变更暨2026年限制性股票激励计划授予的进展公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225406302.PDF,1225406302,是,1183,斯瑞新材公告编号：2026-042陕西斯瑞新材料股份有限公司关于股份性质变更暨2026年限制性股票激励计划授予的进展公告本公司董事会及全体董事保证公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责 / 2026-042陕西斯瑞新材料股份有限公司关于股份性质变更暨2026年限制性股票激励计划授予的进展公告本公司董事会及全体董事保证公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。根据《陕
2026-07-03,000564,供销大集,未归类,,常规底稿,底稿保留,11,PDF已抽取待核,,保留底稿，结合公告原文判断是否进入正式早报。,董秘办,关于回购公司股份的进展公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225406055.PDF,1225406055,是,743,
